TStamp	X	Y	Z
1613754845616	-0.129501	0.013275	9.832397
1613754845618	-0.119934	-0.005859	9.818054
1613754845620	-0.119934	-0.001083	9.841980
1613754845623	-0.122314	0.013275	9.846756
1613754845625	-0.112747	-0.015442	9.820435
1613754845628	-0.129501	-0.025009	9.815659
1613754845630	-0.127106	0.001312	9.827621
1613754845632	-0.139069	0.001312	9.846756
1613754845635	-0.129501	-0.005859	9.839584
1613754845637	-0.115143	-0.010651	9.815659
1613754845639	-0.139069	0.020462	9.825226
1613754845642	-0.117538	-0.001083	9.832397
1613754845644	-0.129501	-0.008255	9.837189
1613754845647	-0.127106	0.022858	9.806091
1613754845649	-0.134293	-0.001083	9.834793
1613754845651	-0.129501	0.006104	9.830017
1613754845654	-0.153427	-0.001083	9.798904
1613754845656	-0.129501	-0.020218	9.820435
1613754845658	-0.131897	0.008499	9.827621
1613754845661	-0.107971	0.018066	9.837189
1613754845663	-0.134293	-0.003464	9.846756
1613754845666	-0.115143	-0.010651	9.832397
1613754845668	-0.139069	-0.010651	9.837189
1613754845670	-0.134293	-0.008255	9.818054
1613754845673	-0.143860	-0.010651	9.834793
1613754845675	-0.131897	-0.013046	9.808472
1613754845677	-0.131897	-0.020218	9.832397
1613754845680	-0.117538	-0.020218	9.839584
1613754845682	-0.134293	-0.008255	9.818054
1613754845685	-0.136673	-0.003464	9.815659
1613754845687	-0.146255	-0.017822	9.832397
1613754845689	-0.136673	-0.005859	9.815659
1613754845692	-0.112747	-0.005859	9.834793
1613754845694	-0.146255	-0.015442	9.822830
1613754845697	-0.129501	0.008499	9.827621
1613754845699	-0.131897	-0.013046	9.822830
1613754845701	-0.122314	0.003708	9.822830
1613754845704	-0.127106	-0.015442	9.825226
1613754845706	-0.124710	-0.001083	9.858719
1613754845708	-0.117538	0.006104	9.844376
1613754845711	-0.129501	-0.010651	9.818054
1613754845713	-0.139069	-0.005859	9.834793
1613754845716	-0.134293	-0.008255	9.822830
1613754845718	-0.103180	0.001312	9.832397
1613754845720	-0.122314	-0.013046	9.834793
1613754845723	-0.134293	-0.001083	9.834793
1613754845725	-0.146255	-0.003464	9.822830
1613754845727	-0.119934	0.013275	9.822830
1613754845730	-0.115143	-0.017822	9.827621
1613754845732	-0.153427	-0.029785	9.827621
1613754845735	-0.160599	-0.020218	9.810867
1613754845737	-0.139069	-0.001083	9.801300
1613754845739	-0.115143	0.003708	9.830017
1613754845742	-0.119934	-0.027405	9.832397
1613754845744	-0.122314	-0.008255	9.810867
1613754845746	-0.115143	0.010880	9.822830
1613754845749	-0.107971	-0.025009	9.839584
1613754845751	-0.129501	-0.008255	9.820435
1613754845754	-0.131897	-0.003464	9.815659
1613754845756	-0.124710	-0.013046	9.841980
1613754845758	-0.122314	-0.015442	9.798904
1613754845761	-0.134293	0.006104	9.801300
1613754845763	-0.134293	0.003708	9.815659
1613754845765	-0.129501	-0.020218	9.801300
1613754845768	-0.131897	-0.008255	9.820435
1613754845770	-0.124710	0.003708	9.832397
1613754845773	-0.151031	-0.015442	9.851547
1613754845775	-0.134293	-0.015442	9.822830
1613754845777	-0.122314	-0.008255	9.815659
1613754845780	-0.117538	-0.003464	9.815659
1613754845782	-0.110352	-0.027405	9.810867
1613754845785	-0.141464	-0.015442	9.825226
1613754845787	-0.141464	-0.017822	9.827621
1613754845789	-0.117538	-0.005859	9.813263
1613754845792	-0.127106	-0.005859	9.825226
1613754845794	-0.107971	0.003708	9.806091
1613754845796	-0.141464	-0.001083	9.818054
1613754845799	-0.127106	0.006104	9.830017
1613754845801	-0.122314	0.003708	9.830017
1613754845804	-0.122314	0.027634	9.810867
1613754845806	-0.112747	-0.001083	9.841980
1613754845808	-0.129501	0.022858	9.820435
1613754845811	-0.117538	0.001312	9.801300
1613754845813	-0.112747	0.013275	9.813263
1613754845815	-0.131897	-0.015442	9.818054
1613754845818	-0.107971	-0.022614	9.810867
1613754845820	-0.124710	-0.020218	9.837189
1613754845823	-0.122314	-0.015442	9.830017
1613754845825	-0.124710	0.003708	9.818054
1613754845827	-0.139069	-0.025009	9.798904
1613754845830	-0.146255	-0.020218	9.820435
1613754845832	-0.117538	-0.005859	9.806091
1613754845834	-0.124710	-0.003464	9.815659
1613754845837	-0.131897	-0.010651	9.818054
