TStamp	X	Y	Z
1613754860835	-0.002167	-0.066757	0.164963
1613754860837	-0.015594	-0.052094	0.174744
1613754860840	-0.031479	-0.039871	0.183289
1613754860842	-0.046143	-0.025223	0.195526
1613754860845	-0.064468	-0.011780	0.207733
1613754860847	-0.077911	0.005325	0.223618
1613754860849	-0.097443	0.018738	0.237061
1613754860852	-0.108444	0.037079	0.254150
1613754860854	-0.123123	0.050507	0.268829
1613754860856	-0.137772	0.063950	0.283478
1613754860859	-0.148773	0.077393	0.296921
1613754860861	-0.158539	0.093277	0.307922
1613754860864	-0.170746	0.105499	0.318909
1613754860866	-0.180542	0.122589	0.327454
1613754860868	-0.185425	0.140915	0.337234
1613754860871	-0.189087	0.156799	0.343338
1613754860873	-0.193985	0.169022	0.349457
1613754860875	-0.195190	0.181244	0.354340
1613754860878	-0.190308	0.195892	0.359222
1613754860880	-0.187866	0.202011	0.360443
1613754860883	-0.182983	0.211777	0.361664
1613754860885	-0.173218	0.220337	0.362885
1613754860887	-0.162216	0.227661	0.360443
1613754860890	-0.151215	0.228897	0.358002
1613754860892	-0.137772	0.230103	0.356781
1613754860895	-0.120682	0.231339	0.353119
1613754860897	-0.104797	0.225220	0.344559
1613754860899	-0.087677	0.219101	0.337234
1613754860902	-0.064468	0.215454	0.329910
1613754860904	-0.043701	0.204453	0.321350
1613754860906	-0.021713	0.192245	0.311584
1613754860909	0.001495	0.177567	0.301804
1613754860911	0.021057	0.165359	0.290802
1613754860914	0.040588	0.147034	0.277359
1613754860916	0.058914	0.129929	0.265152
1613754860918	0.082108	0.117706	0.251709
1613754860921	0.100449	0.100601	0.235825
1613754860923	0.118774	0.087158	0.221176
1613754860925	0.134659	0.073730	0.204056
1613754860928	0.149323	0.061508	0.188171
1613754860930	0.162750	0.051743	0.172302
1613754860933	0.171310	0.041962	0.156418
1613754860935	0.181076	0.035858	0.140533
1613754860937	0.187195	0.029739	0.124649
1613754860940	0.194519	0.026093	0.111221
1613754860942	0.201843	0.021194	0.097778
1613754860944	0.205521	0.017532	0.085556
1613754860947	0.209167	0.016296	0.075790
1613754860949	0.211624	0.011414	0.064789
1613754860952	0.216507	0.008972	0.057465
1613754860954	0.222610	0.010208	0.048904
1613754860956	0.214066	0.007767	0.039139
1613754860959	0.216507	0.011414	0.031815
1613754860961	0.212845	0.017532	0.024475
1613754860964	0.207962	0.024857	0.017136
1613754860966	0.200623	0.030975	0.012253
1613754860968	0.195740	0.039520	0.007370
1613754860971	0.189636	0.051743	0.001266
1613754860973	0.178635	0.065186	-0.002380
1613754860975	0.168869	0.079834	-0.006058
1613754860978	0.155426	0.095718	-0.012161
1613754860980	0.146866	0.114044	-0.013382
1613754860983	0.130997	0.129929	-0.017059
1613754860985	0.119995	0.147034	-0.018265
1613754860987	0.111435	0.164124	-0.018265
1613754860990	0.097992	0.176361	-0.021942
1613754860992	0.091904	0.191010	-0.020706
1613754860994	0.082108	0.202011	-0.023148
1613754860997	0.078461	0.213013	-0.024384
1613754860999	0.069901	0.227661	-0.024384
1613754861002	0.061356	0.238663	-0.026825
1613754861004	0.063797	0.253311	-0.024384
1613754861006	0.058914	0.265549	-0.025589
1613754861009	0.055267	0.278976	-0.028046
1613754861011	0.056473	0.289963	-0.028046
1613754861013	0.055267	0.299744	-0.026825
1613754861016	0.054031	0.304642	-0.028046
1613754861018	0.054031	0.311966	-0.029266
1613754861021	0.056473	0.320511	-0.029266
1613754861023	0.051590	0.322968	-0.031708
1613754861025	0.052826	0.327850	-0.032928
1613754861028	0.056473	0.331512	-0.031708
1613754861030	0.054031	0.327850	-0.035385
1613754861032	0.052826	0.324173	-0.036591
1613754861035	0.052826	0.319290	-0.036591
1613754861037	0.057709	0.311966	-0.036591
1613754861040	0.058914	0.298523	-0.039032
1613754861042	0.061356	0.285080	-0.040268
1613754861044	0.065033	0.269196	-0.041473
1613754861047	0.067459	0.254547	-0.043915
1613754861049	0.069901	0.234985	-0.045151
1613754861052	0.074783	0.211777	-0.046371
1613754861054	0.085785	0.194687	-0.045151
1613754861056	0.088226	0.166565	-0.050034
1613754861059	0.097992	0.140915	-0.052475
1613754861061	0.106552	0.114044	-0.052475
1613754861063	0.111435	0.085953	-0.057358
1613754861066	0.115112	0.059067	-0.061035
1613754861068	0.118774	0.030975	-0.065918
1613754861071	0.123657	0.004089	-0.067139
1613754861073	0.119995	-0.022781	-0.072021
1613754861075	0.137100	-0.039871	-0.069580
1613754861078	0.122437	-0.075302	-0.079361
1613754861080	0.116318	-0.098511	-0.083023
1613754861082	0.110229	-0.118073	-0.087906
